"Date","Price (Open)"
"2019-01-14","3553.692571270285"
"2019-01-13","3647.1659549576625"
"2019-01-12","3637.782587895739"
"2019-01-11","3636.056447206758"
"2019-01-10","4008.917716081457"
"2019-01-09","4000.844719481242"
"2019-01-08","4013.3653658950498"
"2019-01-07","4059.300021884328"
"2019-01-06","3813.0417747002707"
"2019-01-05","3869.526433919301"
"2019-01-04","3807.468136567252"
"2019-01-03","3911.456774156276"
"2019-01-02","3834.9274282828765"
"2019-01-01","3709.8383652376688"
"2018-12-31","3903.195517990057"
"2018-12-30","3751.0637413629356"
"2018-12-29","3906.4421297087997"
"2018-12-28","3608.3857437056477"
"2018-12-27","3820.9498452243447"
"2018-12-26","3824.7845438206973"
"2018-12-25","4053.2739684621974"
"2018-12-24","3964.5943767722865"
"2018-12-23","3995.5718814421366"
"2018-12-22","3860.359726204477"
"2018-12-21","4104.094357952363"
"2018-12-20","3701.8137934575525"
"2018-12-19","3681.4818185723548"
"2018-12-18","3515.979812223726"
"2018-12-17","3227.453826501157"
"2018-12-16","3224.3637878004456"
"2018-12-15","3207.5956354746145"
"2018-12-14","3274.8646408409077"
"2018-12-13","3449.8758290899596"
"2018-12-12","3362.5555015672862"
"2018-12-11","3425.8966272049047"
"2018-12-10","3541.5700496877403"
"2018-12-09","3418.659308837131"
"2018-12-08","3393.4380269079215"
"2018-12-07","3459.823967143504"
"2018-12-06","3707.0953491111068"
"2018-12-05","3935.7381255564233"
"2018-12-04","3838.897241422392"
"2018-12-03","4122.84445876332"
"2018-12-02","4155.703785060413"
"2018-12-01","3986.87539409862"
"2018-11-30","4252.650349377538"
"2018-11-29","4231.714759330266"
"2018-11-28","3818.295622928215"
"2018-11-27","3747.5739775101056"
"2018-11-26","3998.97030330446"
"2018-11-25","3813.4866899222784"
"2018-11-24","4310.436505740969"
"2018-11-23","4282.482405382317"
"2018-11-22","4561.628990727753"
"2018-11-21","4409.027822535572"
"2018-11-20","4805.771896077133"
"2018-11-19","5593.0237332295965"
